page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,,145,"Chamberlain, Hunter","Finish Gun
02:32:25",18-39,M
1,,146,"Baker, Edward","Finish Gun
02:32:26",45-49,M
1,,147,"Hatheway, Gavin","Finish Gun
02:32:29",18-39,M
1,,148,"Moerk, Michael","Finish Gun
02:32:26",18-39,M
1,,149,"French, David","Finish Gun
02:32:37",18-39,M
1,,150,"Spaulding, Jack","Finish Gun
02:32:53",18-39,M
1,,151,"Cook, Adam","Finish Gun
02:33:11",18-39,M
1,,152,"Horvath, Jon","Finish Gun
02:32:50",18-39,M
1,,153,"Garcia, Cyril","Finish Gun
02:32:43",18-39,M
1,,154,"Lobdell, Matthew","Finish Gun
02:32:57",18-39,M
1,,155,"Snyder, Andrew","Finish Gun
02:32:56",18-39,M
1,,156,"Kann, Brent","Finish Gun
02:33:14",18-39,M
1,,157,"Sauter, Bailey","Finish Gun
02:33:11",18-39,M
1,,158,"Jantz, John","Finish Gun
02:34:37",18-39,M
1,,159,"Cardona, Juan Carlos","Finish Gun
02:33:08",45-49,M
1,,160,"Geiger, Andrew","Finish Gun
02:33:12",18-39,M
1,,161,"Banias, Roman","Finish Gun
02:33:10",18-39,M
1,,162,"Alatalo, Erik","Finish Gun
02:33:19",18-39,M
1,,163,"Dolecki, Evan","Finish Gun
02:33:20",18-39,M
1,,164,"Pool, Kevin","Finish Gun
02:33:28",40-44,M
1,,165,"Saxton, Jesse","Finish Gun
02:33:28",18-39,M
1,,166,"Rand, Matt","Finish Gun
02:33:21",18-39,M
1,,167,"Read, Quinton","Finish Gun
02:33:30",18-39,M
1,,168,"Hendrickson, Adam","Finish Gun
02:33:44",18-39,M
1,,169,"Potere, Jacob","Finish Gun
02:34:12",18-39,M
1,,170,"Denny, Jeffrey","Finish Gun
02:34:21",18-39,M
1,,171,"Ives, Sam","Finish Gun
02:34:03",45-49,M
1,,172,"Marvin, Christopher","Finish Gun
02:33:55",18-39,M
1,,173,"Ash, Alan","Finish Gun
02:34:11",18-39,M
1,,174,"Herrmann, Colin","Finish Gun
02:33:56",18-39,M
1,,175,"Angelatos, Gerasimos","Finish Gun
02:34:08",18-39,M
1,,176,"Gonzalez, Valentin","Finish Gun
02:34:03",18-39,M
1,,177,"Freitas Ferreira, João Gabriel","Finish Gun
02:33:57",18-39,M
1,,178,"Jutras, Hunter","Finish Gun
02:34:01",18-39,M
1,,179,"Fujinaga, Hiroki","Finish Gun
02:34:18",18-39,M
1,,180,"Happe, John","Finish Gun
02:37:22",18-39,M
1,,181,"Alloway, Kevin","Finish Gun
02:34:19",18-39,M
1,,182,"Laughlin, Mark","Finish Gun
02:34:11",18-39,M
1,,183,"Tice, Ryan","Finish Gun
02:35:49",18-39,M
1,,184,"Estrada, Lucas","Finish Gun
02:34:19",18-39,M
1,,185,"Voorhees, Simon","Finish Gun
02:34:33",18-39,M
1,,186,"Davis, Blake","Finish Gun
02:34:42",18-39,M
1,,187,"Hollis, Robbie","Finish Gun
02:34:31",18-39,M
1,,188,"Trombetta, Michael","Finish Gun
02:35:15",18-39,M
1,,189,"Loper, Alexander","Finish Gun
02:34:33",18-39,M
1,,190,"Muñoz Valencia, Pedro","Finish Gun
02:34:31",40-44,M
1,,191,"Hammerand, Ethan","Finish Gun
02:34:34",18-39,M
1,,192,"Carroll, Brian","Finish Gun
02:34:35",18-39,M
1,,193,"Purtell, Joseph","Finish Gun
02:34:36",18-39,M
1,,194,"Hadley, Mark","Finish Gun
02:34:40",18-39,M
1,,195,"Messman, Clark","Finish Gun
02:34:47",18-39,M
1,,196,"Furcich, Justin","Finish Gun
02:34:45",18-39,M
1,,197,"Berard, David","Finish Gun
02:35:05",18-39,M
1,,198,"Landeo Carranza, Oliver","Finish Gun
02:34:48",18-39,M
1,,199,"Platzer, Patrick","Finish Gun
02:34:59",18-39,M
1,,200,"Radloff, Rex","Finish Gun
02:34:41",18-39,M
1,,201,"Castronuovo, Vinny","Finish Gun
02:34:48",18-39,M
1,,202,"Magoffin, Hamish","Finish Gun
02:34:44",40-44,M
1,,203,"Tysor, Joshua","Finish Gun
02:37:22",18-39,M
1,,204,"White, Tony","Finish Gun
02:34:44",18-39,M
1,,205,"Larouche, Anthony","Finish Gun
02:34:49",18-39,M
1,,206,"Deak, Andrew","Finish Gun
02:34:50",40-44,M
1,,207,"Creedon, Michael","Finish Gun
02:35:04",18-39,M
1,,208,"Caron, Patrick","Finish Gun
02:34:52",18-39,M
1,,209,"Rynkowski, Pat","Finish Gun
02:34:57",18-39,M
1,,210,"Wormuth, Aleksander","Finish Gun
02:35:08",18-39,M
1,,211,"Marban, Albert","Finish Gun
02:35:16",18-39,M
1,,212,"Blas, Wayne","Finish Gun
02:35:08",45-49,M
1,,213,"O'connor, Nathan","Finish Gun
02:35:08",18-39,M
1,,214,"Limkemann, Eric","Finish Gun
02:35:15",40-44,M
1,,215,"Kislyuk, Dmitry","Finish Gun
02:35:13",18-39,M
1,,216,"Blair, Patrick","Finish Gun
02:35:24",40-44,M
1,,217,"Lundquist, Keith","Finish Gun
02:37:44",18-39,M
1,,218,"Hurt, Charlie","Finish Gun
02:35:50",40-44,M
1,,219,"Levesque-Savard, Christopher","Finish Gun
02:36:04",18-39,M
1,,220,"Cantara, Thomas","Finish Gun
02:35:23",18-39,M
1,,221,"Palamar, Tom","Finish Gun
02:35:28",18-39,M
1,,222,"Kelly, Wyatt","Finish Gun
02:35:45",18-39,M
1,,223,"Soszka, Marcin","Finish Gun
02:35:28",40-44,M
1,,224,"Doescher, Scott","Finish Gun
02:36:02",18-39,M
1,,225,"Nieto, Benjamin","Finish Gun
02:35:48",18-39,M
1,,226,"Schneider, Malcolm","Finish Gun
02:35:43",18-39,M
1,,227,"Gardner, Daniel","Finish Gun
02:36:50",18-39,M
1,,228,"Gadomski, Ben","Finish Gun
02:36:27",18-39,M
1,,229,"Seidel, Matthew","Finish Gun
02:36:12",18-39,M
1,,230,"Whitelaw, Austin","Finish Gun
02:36:29",18-39,M
1,,231,"Polansky, Micah","Finish Gun
02:35:51",40-44,M
1,,232,"Mcneil, Sean","Finish Gun
02:35:59",18-39,M
1,,233,"Yorek, Derek","Finish Gun
02:36:28",40-44,M
1,,234,"Chen, Xiao","Finish Gun
02:35:56",18-39,M
1,,235,"Evans, Joshua","Finish Gun
02:36:10",18-39,M
1,,236,"Melly, David","Finish Gun
02:35:51",18-39,M
1,,237,"Beach, Brian","Finish Gun
02:36:34",18-39,M
1,,238,"Wendel, Nicholas","Finish Gun
02:35:58",18-39,M
1,,239,"Hannon, Thomas","Finish Gun
02:35:59",18-39,M
1,,240,"Reina, Rio","Finish Gun
02:35:58",18-39,M
1,,241,"Dellinger, Thomas","Finish Gun
02:36:03",18-39,M
1,,242,"Meyer, Matthew","Finish Gun
02:36:04",18-39,M
