page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,2369,139,"Cheff, Ashley",03:02:17,18-39,W
1,2421,140,"Mcgroarty, Elizabeth",03:02:29,18-39,W
1,2424,141,"Kiekow, Francieli",03:02:57,18-39,W
1,2449,142,"Martins, Inês",03:04:52,18-39,W
1,2456,143,"Cuffe, Aisling",02:59:17,18-39,W
1,2466,144,"Sharp, Christina",02:58:20,18-39,W
1,2487,145,"Zioto, Kathryn",02:58:33,18-39,W
1,2507,146,"Villasenor, Sarah",03:02:47,18-39,W
1,2508,147,"Bova, Carrie",03:00:35,18-39,W
1,2512,148,"Orsted, Hailey",02:58:33,18-39,W
1,2524,149,"Mcnair, Charlotte",03:01:41,18-39,W
1,2531,150,"Spannaus, Michaela",03:01:23,18-39,W
1,2577,151,"Neumann, Kenaia",03:04:39,18-39,W
1,2581,152,"Emond, Sophie",03:02:31,18-39,W
1,2607,153,"Thewes, Mika",03:03:55,18-39,W
1,2609,154,"Pasminski, Andrea",02:58:56,18-39,W
1,2617,155,"Steinman, Anna",02:59:42,18-39,W
1,2637,156,"Kumer, Emma",03:04:21,18-39,W
1,2640,157,"Plassche, Grace",03:00:10,18-39,W
1,2644,158,"Caruso, Isabella",03:00:28,18-39,W
1,2651,159,"Meyer, Caitie",03:02:17,18-39,W
1,2652,160,"Davies, Susannah",02:59:04,18-39,W
1,2656,161,"Leboeuf, Veronique",03:03:19,40-44,W
1,2666,162,"Dauvergne, Nina",02:59:09,18-39,W
1,2678,163,"Ullmann, Emily",03:00:53,18-39,W
1,2686,164,"Abruzzo, Lauren",03:00:39,18-39,W
1,2693,165,"Power, Breanna",03:00:49,18-39,W
1,2697,166,"Olave Andrade, Gema",03:05:58,45-49,W
1,2706,167,"Fitzgerald, Erin",03:00:55,40-44,W
1,2715,168,"Jacques, Alice",03:05:09,18-39,W
1,2733,169,"Tang, Lingqiao",03:03:03,18-39,W
1,2740,170,"Larson, Julia",02:59:54,18-39,W
1,2749,171,"Tierney, Jacqueline",03:04:17,18-39,W
1,2753,172,"Van Eeuwijk, Danielle",03:00:04,45-49,W
1,2754,173,"Kowalk, Charlotte",03:04:20,18-39,W
1,2756,174,"Wood, Erica",02:59:46,18-39,W
1,2761,175,"Quiles, Jocelyn",02:59:41,18-39,W
1,2767,176,"Duellman, Ashley",03:06:42,18-39,W
1,2776,177,"Sukolsky, Alison",03:00:36,18-39,W
1,2778,178,"Hyer, Suzanne",03:03:52,40-44,W
1,2790,179,"Hepp Hovis, Megan",03:05:32,40-44,W
1,2815,180,"Busman, Meredith",03:02:51,18-39,W
1,2848,181,"Markel, Paula",03:00:55,18-39,W
1,2849,182,"Nordquist, Mckenzie",02:59:57,18-39,W
1,2852,183,"Murray, Meaghan",03:00:29,18-39,W
1,2854,184,"Jacobs, Ainsley",03:00:36,18-39,W
1,2867,185,"Elson, Elizabeth",03:01:52,18-39,W
1,2869,186,"Twomey, Evelyn",03:02:52,18-39,W
1,2872,187,"Mercier, Briee",03:00:50,18-39,W
1,2880,188,"Mcandrew, Shannon",03:04:48,18-39,W
1,2881,189,"Meek, Jo",03:05:08,45-49,W
1,2897,190,"Randolph, Mary",03:03:37,18-39,W
1,2902,191,"Mulcahy, Teri",03:08:08,45-49,W
1,2904,192,"Donovan, Michelle",03:00:14,18-39,W
1,2929,193,"Cummings, Madeleine",03:02:21,18-39,W
1,2939,194,"Leclair, Brandy",03:03:33,18-39,W
1,2953,195,"Johanek, Sarah",03:08:12,18-39,W
1,2954,196,"Khadka, Sworupa",03:06:34,45-49,W
1,2959,197,"Moran, Ali",03:08:09,18-39,W
1,2971,198,"Curcuru, Margaux",03:01:56,18-39,W
1,2974,199,"Epps, Aimee",03:06:35,18-39,W
1,2981,200,"Pagone, Grace",03:00:52,18-39,W
1,2999,201,"Solano Barquero, Alejandra María",03:01:12,18-39,W
1,3006,202,"Bewsey, Hannah",03:06:20,18-39,W
1,3009,203,"Peterson, Rebecca",03:01:20,18-39,W
1,3014,204,"Praznik, Meaghan",03:06:34,18-39,W
1,3021,205,"Gill, Halle",03:02:34,18-39,W
1,3032,206,"Johnson, Marian",03:05:25,40-44,W
1,3039,207,"Bush, Mckenna",03:05:50,18-39,W
1,3044,208,"Macdonald, Alexandra",03:01:38,18-39,W
1,3048,209,"Mccabe, Molly",03:01:44,18-39,W
1,3053,210,"Defranco, Meredith",03:01:27,40-44,W
1,3057,211,"Scherbenske, Ashley",03:01:19,18-39,W
1,3063,212,"Coates, Phoebe",03:06:09,18-39,W
1,3065,213,"Decarpentrie, Sarah",03:05:42,18-39,W
1,3068,214,"Pena, Valentina",03:03:41,18-39,W
1,3070,215,"Rundle, Eleni",03:04:37,40-44,W
1,3083,216,"Niles, Alexandra",03:01:18,40-44,W
1,3087,217,"Gilliver, Alyse",03:01:42,18-39,W
1,3088,218,"Cooke, Jacqueline",03:05:39,45-49,W
1,3104,219,"Morgan, Grace",03:03:48,18-39,W
1,3107,220,"Randell, Rebecca",03:05:31,18-39,W
1,3121,221,"Schmitt, Sarah",03:04:26,18-39,W
1,3145,222,"Wehman, Kelly",03:02:42,18-39,W
1,3146,223,"Stori, Julia",03:01:47,18-39,W
1,3149,224,"Lucas, Wylie",03:04:50,18-39,W
1,3152,225,"Mcquiston, Susan",03:02:28,18-39,W
1,3154,226,"Wolf, Jillian",03:04:02,18-39,W
1,3155,227,"Vandenlangenberg, Brook",03:05:57,18-39,W
1,3157,228,"Addison, Becca",03:05:14,18-39,W
1,3160,229,"Cherian, Anna",03:02:46,18-39,W
1,3166,230,"Marlier, Jessica",03:06:48,18-39,W
1,3169,231,"Klene, Mary",03:07:55,40-44,W
1,3174,232,"Deady, Amelia",03:02:16,18-39,W
1,3177,233,"Sowinski, Rachel",03:05:09,18-39,W
1,3178,234,"Floisand, Mary",03:01:58,18-39,W
1,3186,235,"Westover, Maeve",03:03:01,18-39,W
1,3191,236,"Hornyak, Julia",03:06:05,18-39,W
1,3201,237,"Hansen, Megan",03:02:16,40-44,W
1,3215,238,"Graham, Annie",03:07:03,18-39,W
1,3252,239,"Selig Boerner, Jennifer",03:04:25,40-44,W
1,3260,240,"Busa, Ashley",03:07:28,18-39,W
1,3262,241,"Goldcamp, Stephanie",03:03:31,40-44,W
1,3273,242,"Clements, Grace",03:06:09,18-39,W
1,3274,243,"Reed, Cindy",03:05:07,18-39,W
1,3275,244,"Dorsky, Lauren",03:05:43,18-39,W
